2357 1698
159 245 81
1488 1739 180
1604 2120 130
763 1906 426
295 847 159
1221 2169 819
895 1048 15
84 625 81
537 2098 422
1498 1721 156
624 825 178
962 1561 39
219 236 15
139 2034 1574
681 958 187
593 1073 452
299 1957 379
132 1219 380
260 333 15
1687 2120 197
189 426 212
698 1307 409
58 95 13
1623 1895 97
2 80 37
602 1593 765
240 560 224
230 959 705
33 41 5
357 1536 542
636 1289 425
1127 1918 142
111 935 78
239 1817 152
427 2001 1157
1311 1575 233
299 334 8
1915 2009 71
207 573 6
1464 2074 56
2176 2272 5
413 545 93
5 962 103
577 594 16
51 545 428
172 210 26
729 887 149
959 1206 193
365 768 384
171 498 88
1569 1795 10
1313 1739 101
733 1654 708
569 1120 277
2101 2155 13
100 1299 1002
6 193 21
1581 1956 69
260 327 63
687 1952 1020
71 260 125
749 1312 333
475 2336 871
306 410 19
1409 2293 247
57 224 69
354 468 78
1477 1548 65
171 273 92
20 97 44
530 1024 218
322 430 5
523 560 20
129 400 272
1071 1224 88
527 2273 1718
944 1605 35
1596 2249 269
555 1401 193
25 75 24
968 1608 87
149 489 183
743 1703 208
604 886 243
759 1888 603
728 1865 595
219 846 86
881 1656 667
438 2168 1054
787 1361 555
821 1762 661
181 1851 1659
367 841 189
172 1029 545
1913 2269 296
1528 2097 311
1157 1633 0
502 594 1
135 229 46
1611 1671 45
464 842 221
7 159 40
137 931 258
10 12 1
287 1966 1467
769 2043 190
120 187 34
287 2068 1762
216 1849 916
870 1672 745
826 899 34
664 1729 479
1343 2218 426
1191 1393 3
157 486 190
241 422 63
432 1187 113
2 6 2
946 1875 240
88 338 9
2198 2237 19
755 1128 120
650 873 145
1299 1626 246
455 1944 1445
981 2180 1023
209 441 156
401 493 0
560 1099 59
341 489 17
349 2286 1258
1340 1957 270
589 2250 1461
747 831 29
1686 2225 34
639 886 3
1347 1404 16
1102 2311 452
856 1298 378
629 763 36
11 1213 765
256 1172 466
700 927 96
154 800 202
1178 1487 118
46 78 28
284 314 26
37 120 69
704 720 2
72 714 124
217 223 4
122 1465 0
817 1749 775
937 1723 425
372 2329 565
58 1325 455
31 97 60
210 353 22
246 1626 367
584 1204 267
1508 1646 101
65 945 795
179 352 92
131 317 145
1248 1728 171
386 631 219
535 634 41
188 208 17
491 1270 734
437 698 132
1419 1423 2
1942 2260 313
168 200 13
1531 1688 21
26 91 1
464 2103 943
916 1491 342
1364 2255 680
1134 2088 573
66 1032 734
302 732 40
149 492 77
571 1991 497
800 1308 340
1451 1742 126
190 2197 761
860 975 50
694 716 18
501 685 51
681 1032 143
650 2076 430
371 757 216
153 1728 554
784 1461 216
344 637 213
386 1494 580
418 524 67
1369 2206 402
332 2225 1055
168 288 29
751 1628 737
580 2347 393
227 401 147
641 913 78
64 452 112
351 355 1
702 720 18
611 2142 732
1159 1324 155
851 1336 63
522 2030 162
1034 1955 570
139 232 36
773 1891 842
679 1160 13
1661 1713 39
817 2225 596
134 605 170
545 2062 1223
2174 2247 19
642 1930 1060
153 284 119
9 783 438
1217 1433 157
258 1810 789
560 941 24
887 957 33
186 311 22
1179 1584 114
434 543 3
204 562 287
2002 2161 87
2 3 0
376 1481 909
662 1748 499
156 2109 748
65 110 37
1350 2156 207
1084 1397 145
63 222 51
103 112 7
482 953 338
233 482 230
564 823 126
126 191 53
1927 2020 94
967 2065 22
1146 2190 242
204 1077 572
482 1513 611
428 471 15
876 1793 872
440 987 501
847 1297 169
160 705 287
315 1496 795
1625 2277 420
544 2285 503
14 216 121
267 2193 899
375 633 144
281 603 289
146 241 65
957 1341 90
8 2056 30
56 435 38
65 725 105
932 2229 1029
39 1747 1673
520 602 42
1247 1701 66
112 785 207
1208 2074 357
373 1828 1428
316 471 86
748 919 90
42 82 21
2 192 16
1529 2091 547
88 99 6
202 816 598
30 100 23
87 144 21
513 788 9
2004 2092 59
624 1074 115
130 479 241
112 317 15
139 939 457
563 693 73
694 859 62
22 195 26
889 1529 185
868 1486 51
174 180 4
289 337 44
142 887 712
1219 2288 771
1584 1805 76
169 257 32
438 1526 742
25 45 14
1608 1849 109
169 609 39
432 523 82
584 849 216
459 1256 739
209 842 581
2197 2321 124
1477 1866 324
545 783 152
719 1637 309
19 72 23
381 576 61
8 59 13
43 1290 872
840 935 46
135 1365 296
519 1128 28
579 2129 1543
318 330 7
566 814 131
716 2210 1265
413 1609 969
767 1162 41
85 228 127
395 1798 776
328 2348 1066
394 790 346
75 1156 921
274 1730 1424
1250 1576 88
209 275 17
1174 1359 29
18 1399 1238
453 472 2
1336 1667 83
189 1574 187
462 559 7
1016 1262 177
18 200 88
377 1207 824
323 374 42
1168 1896 684
57 1772 832
122 819 28
380 635 245
67 178 111
465 684 72
1011 1032 7
1997 2357 283
1 298 270
283 2034 1698
28 865 634
144 203 14
349 1774 1291
1669 1698 11
465 756 198
62 222 131
307 575 240
1142 1615 431
1057 1699 308
912 1251 34
99 322 114
35 55 18
200 534 237
962 1015 44
165 241 64
1546 1701 99
490 967 333
12 298 272
483 1139 174
498 1806 577
122 174 16
15 320 61
1154 1651 260
293 1152 832
129 2256 1011
996 2217 356
999 1291 62
217 1259 872
591 779 32
512 2014 1376
202 255 0
1645 2081 433
389 839 195
43 139 61
83 102 17
685 1141 286
362 671 21
70 104 33
264 309 8
1322 1952 503
149 2157 516
391 1049 529
1434 2301 56
629 1840 375
478 667 176
783 949 134
232 726 480
187 1418 139
837 1402 301
458 1478 305
1 728 192
1387 1939 190
310 2063 18
313 1348 237
156 437 29
1375 1465 90
55 117 56
76 1103 931
823 1835 558
928 1989 72
1399 1935 200
202 1309 704
129 839 583
380 952 388
197 1287 157
432 2056 351
874 2197 20
608 2349 935
939 1138 38
135 194 51
1541 1998 373
3 501 216
181 1469 700
444 576 70
705 1195 293
847 1577 372
745 835 58
68 490 299
110 908 238
769 1772 742
779 1605 228
559 1433 226
659 2253 877
544 713 74
1226 1560 95
1123 1740 553
24 1396 449
2029 2082 35
424 741 111
142 170 23
500 2258 1728
547 1191 220
40 43 4
61 349 15
345 915 402
104 354 37
215 1813 651
234 1600 288
1039 1930 84
674 2104 985
1291 1428 74
811 889 35
126 851 22
341 472 83
282 429 103
16 204 5
194 535 128
732 1488 38
923 1468 343
254 2219 174
560 674 13
606 635 1
417 776 107
1743 1981 215
49 1083 470
66 819 602
291 1057 613
43 262 108
1350 2029 75
211 1122 504
1685 1735 11
1591 1977 277
1252 1714 429
762 928 165
19 67 36
1148 1265 0
149 1537 142
848 1037 23
40 342 52
252 356 2
2 590 355
66 755 17
1001 2244 1088
856 1265 142
388 889 187
1029 1210 142
125 134 1
196 1084 48
252 441 79
1036 1355 311
890 1002 111
43 449 60
124 289 38
231 323 82
130 354 64
2023 2111 63
145 204 46
1247 1564 157
425 882 267
6 1728 416
385 949 392
438 1266 299
99 126 7
85 599 451
1525 1682 88
573 1609 845
486 2089 1142
127 1402 498
740 1752 833
988 2242 930
1009 2086 545
1004 1022 19
651 678 24
96 309 24
185 288 94
296 796 96
210 614 65
260 688 101
1445 1534 16
987 1642 489
196 1574 338
135 1580 187
782 2345 6
734 1744 109
97 924 514
673 1265 93
358 786 200
56 90 6
78 734 621
669 703 17
948 2006 511
1252 2271 424
598 2131 606
11 561 500
1847 1879 3
2158 2253 81
732 1165 311
570 2046 1231
494 1028 406
52 629 42
1901 2062 9
516 2189 258
64 1757 312
373 2040 274
777 2352 451
1201 1446 123
575 1112 28
1398 1473 3
390 516 46
329 396 8
944 2026 354
1649 2186 515
961 1199 138
1800 2165 25
97 1011 184
287 2305 1427
128 558 231
200 936 720
878 1542 445
181 1372 813
56 223 112
629 697 60
908 1387 333
67 1493 1417
804 1527 555
802 1096 62
139 1411 526
113 1406 762
341 452 68
1305 1646 268
157 686 119
1393 2069 176
57 2189 99
1182 1469 164
436 2332 225
659 1045 120
385 845 425
549 708 36
384 1511 498
1474 1656 86
1119 2329 327
291 300 2
159 191 1
193 822 102
1491 1973 0
754 831 23
92 534 204
109 270 20
951 1135 184
153 1916 457
448 449 2
813 1642 383
85 201 19
29 426 283
151 1722 1125
879 992 36
333 1155 86
1842 2032 169
1368 1869 330
1304 1971 359
94 1224 699
849 1068 6
817 1740 554
58 705 272
192 468 94
417 516 83
1836 2131 167
135 186 50
7 530 31
115 1625 1126
669 1312 10
906 1946 900
612 1126 46
1272 2280 239
623 2078 585
363 1213 713
440 729 242
463 974 427
2036 2198 126
125 1381 255
714 2167 1224
80 1287 629
534 1221 412
416 802 24
51 232 43
280 399 82
1667 2281 507
209 1621 265
960 985 9
500 1158 53
206 893 225
70 1228 1013
1650 2260 578
1124 1828 82
1125 2283 22
1305 2180 299
352 1103 99
121 1047 422
1067 1526 189
408 2141 312
877 1192 262
133 615 191
663 782 41
1029 2085 699
1537 2161 453
1676 1707 7
1093 1582 30
1117 1456 192
848 954 22
217 1536 1018
525 1151 212
52 57 6
247 249 0
587 638 21
1027 1373 257
362 415 13
556 688 109
604 1695 1092
245 1451 10
745 1017 233
1485 1757 51
568 912 310
563 1469 21
697 832 5
247 389 88
174 1285 1045
256 1555 32
1390 2154 670
99 127 21
1043 1259 86
450 1834 883
232 1920 26
71 990 19
930 2133 179
194 419 31
941 1960 148
222 481 69
865 1056 92
728 2124 606
1116 1510 79
1307 1874 41
164 278 16
125 172 41
305 474 150
910 1078 104
2 127 28
1007 1213 102
149 913 396
1234 1455 5
996 1876 545
23 603 279
1042 2315 757
1448 1541 12
646 1746 251
365 1177 445
981 1150 41
332 1907 335
225 657 199
947 1071 48
908 1309 98
404 1827 36
607 1776 258
787 1279 46
23 250 68
256 282 7
560 687 120
797 1899 503
979 1075 92
296 432 112
120 400 82
1811 2000 128
424 938 37
166 1299 16
66 127 51
245 1237 891
44 87 15
1079 1371 37
729 1277 135
540 890 289
814 1606 272
493 963 48
339 1093 415
1215 1655 291
157 166 8
453 652 188
1728 2029 271
244 840 17
890 1232 316
117 647 189
740 2000 117
7 118 2
119 171 8
123 1032 153
117 133 10
10 19 4
174 374 147
533 932 32
185 280 88
68 505 136
155 1149 406
41 79 27
309 1331 34
545 815 128
28 72 24
1368 1963 152
76 83 2
973 1431 305
121 337 25
127 874 270
46 74 11
48 324 27
193 250 56
577 695 93
104 1638 567
871 2222 408
679 776 82
609 1248 263
547 1188 599
1392 1816 159
591 1968 314
576 1727 519
2117 2287 158
1793 1873 15
534 1270 22
1026 1044 0
1304 1502 57
291 330 20
515 2209 162
187 1306 955
161 176 0
1107 1959 215
212 1754 474
133 377 67
384 887 272
109 168 48
237 1169 324
553 1425 173
1297 1305 8
1102 1711 25
168 812 121
26 897 80
1 63 31
93 809 534
1538 2355 297
396 1397 16
454 1208 167
1204 1463 113
543 1704 743
1253 1363 43
1134 1766 411
544 1041 411
462 2030 1083
1068 2177 1042
9 209 166
1010 1370 228
103 182 34
663 1480 219
1184 2261 729
302 1547 920
1458 1575 21
660 910 199
92 390 249
1617 1957 226
236 321 85
223 894 395
975 2267 694
215 510 214
1334 1912 273
376 1737 278
80 1363 972
54 415 157
97 261 1
111 1208 615
174 1658 365
642 1619 910
1741 2094 214
160 632 378
927 2197 177
29 93 43
33 584 419
498 1565 869
1896 1916 18
416 1705 199
387 1961 41
1 6 0
191 323 108
560 1070 315
581 1323 309
474 694 19
1573 2329 206
590 1021 110
112 1231 233
722 924 181
172 235 5
1743 1824 67
16 677 116
724 1587 457
1501 1616 4
1035 1268 75
23 57 4
1132 1643 311
758 793 34
339 1137 740
847 2356 255
118 1118 862
118 2306 388
153 2351 2019
998 1177 53
423 515 18
1209 1884 176
270 988 86
39 1762 389
108 281 115
1512 1593 75
1098 1229 53
114 603 150
43 408 203
1610 1632 2
413 536 36
523 1135 126
733 1402 516
176 2264 938
640 977 310
767 1134 166
360 1917 1479
837 1008 168
152 1207 984
558 745 103
1721 1904 3
740 1184 413
1038 1119 21
607 1981 520
632 650 1
156 599 271
523 1846 57
303 2152 518
330 940 587
1011 1830 270
72 945 167
74 103 10
1442 2003 471
742 1561 163
13 190 133
801 1255 348
1419 1588 86
633 2190 425
195 463 39
335 2083 288
540 1569 251
1384 1949 413
1339 1538 33
574 575 1
1722 1820 95
1033 1358 234
126 910 447
2203 2293 38
46 1010 852
524 1317 699
851 1098 61
1672 1717 1
1181 1389 144
