662 1292
92 203 47
80 162 55
72 159 48
17 83 66
182 599 302
53 168 25
357 504 50
251 640 93
33 191 96
226 275 31
67 411 314
234 336 51
334 454 41
78 185 49
4 91 50
224 409 111
63 251 13
48 94 21
170 341 74
47 233 60
13 91 37
7 122 60
21 30 0
1 12 6
190 344 13
49 70 16
55 324 28
314 322 8
385 658 224
2 251 139
12 246 21
40 301 194
4 6 1
131 312 104
13 385 211
43 193 13
240 281 32
629 639 1
248 440 136
268 578 142
7 80 38
206 471 183
100 416 243
186 505 276
445 454 8
57 131 65
156 199 8
81 214 125
403 414 12
249 373 58
399 496 49
146 213 0
594 612 19
178 438 213
364 561 159
202 512 225
5 8 1
2 28 13
488 522 9
18 54 33
51 217 138
272 540 149
592 654 24
183 502 6
121 215 38
119 170 2
464 508 32
350 489 52
3 202 89
82 174 28
401 617 137
99 102 0
329 369 2
21 123 35
128 168 6
97 101 0
103 328 6
373 450 78
290 587 170
386 471 77
187 394 178
122 266 9
12 20 9
91 101 6
522 655 112
156 385 192
473 476 0
145 202 37
304 307 4
489 503 9
161 621 135
21 40 19
230 322 53
545 660 63
185 431 75
10 115 91
47 626 539
306 365 54
253 650 147
495 615 93
110 283 77
7 14 5
274 482 138
65 384 240
254 338 10
248 346 34
124 569 164
184 627 193
38 236 19
35 109 5
357 418 45
189 256 27
434 553 62
283 284 2
172 222 19
90 165 66
14 176 12
626 651 8
76 433 127
174 225 22
75 148 34
230 475 240
304 581 278
88 568 300
264 393 55
190 238 0
83 90 8
152 389 197
116 256 92
398 487 17
4 29 0
112 162 21
192 278 11
121 247 117
84 98 13
99 435 35
110 132 6
452 636 21
446 583 0
246 478 14
165 180 13
246 322 19
27 67 20
74 338 44
103 280 85
119 583 431
497 581 75
7 74 37
177 506 21
434 497 52
292 623 302
93 98 6
250 268 3
13 22 5
174 552 68
381 569 131
224 264 23
299 339 3
63 216 59
6 7 0
3 14 11
172 230 14
19 21 1
469 586 11
55 494 164
594 597 2
364 462 81
69 170 11
26 56 18
7 324 148
429 519 41
235 373 44
60 280 22
75 394 72
41 200 147
38 55 18
26 193 44
41 52 3
228 400 167
31 578 541
206 336 96
8 37 27
12 262 110
220 592 143
79 98 18
214 323 61
140 437 202
21 224 18
413 483 56
36 136 37
261 404 81
419 497 3
8 32 4
292 434 121
201 321 87
45 117 40
520 583 61
1 8 6
158 383 159
120 120 1
52 528 88
183 244 39
194 252 41
252 355 58
81 164 39
136 581 73
34 70 5
32 279 126
348 395 15
24 31 7
221 354 134
121 184 34
143 168 3
17 23 1
45 269 165
58 264 82
37 125 18
46 238 113
10 12 2
180 206 13
17 110 81
545 599 29
241 385 41
255 550 161
427 656 55
53 308 91
170 460 245
234 320 63
72 448 329
275 638 92
357 455 54
211 301 44
17 71 43
102 119 14
85 209 99
173 235 63
66 199 36
133 251 87
2 5 4
160 262 8
457 463 5
4 11 7
234 367 125
48 53 4
74 409 275
139 282 66
129 224 25
321 497 9
60 545 243
151 261 65
37 167 61
33 199 153
45 79 4
100 513 139
183 270 1
64 100 36
329 391 48
101 472 248
347 398 35
172 520 20
491 519 29
261 630 170
48 149 37
15 38 17
19 430 257
497 659 157
12 18 1
463 648 104
105 161 46
221 459 5
547 660 60
