2945 2899
672 699 23
184 235 6
932 1548 189
230 1385 538
95 400 75
499 591 50
293 438 81
1632 2191 236
2214 2432 47
791 1122 325
948 1385 316
291 549 80
141 2641 1733
204 436 41
1195 1872 603
206 209 4
1963 2176 178
132 179 32
233 2299 177
137 2354 740
429 2035 1105
294 871 294
2152 2856 265
527 717 132
52 1258 156
746 1467 345
1869 2051 180
25 341 273
107 1209 889
892 2505 862
777 2933 197
495 1256 637
820 1037 96
719 2443 1121
955 2584 140
131 989 714
291 863 124
548 715 31
103 778 75
382 404 15
1987 2881 601
1287 1838 321
2313 2643 188
1140 1430 159
152 1392 380
1841 2231 264
538 1638 815
831 1877 710
119 1062 815
101 347 162
26 59 2
65 1129 189
181 807 115
164 366 102
293 1213 841
276 760 219
469 1089 325
1325 2659 895
9 1037 155
1343 1482 131
1467 2482 150
531 1959 127
1083 1153 38
271 667 295
1343 2300 9
2292 2469 168
1185 1831 292
803 1133 131
1404 2584 267
380 435 36
962 1166 204
137 145 9
129 1065 31
61 1072 443
1109 2518 759
211 858 590
307 709 277
1072 2825 1474
1134 1484 348
717 2055 1040
775 803 27
974 1070 67
132 151 4
864 1405 194
4 7 1
974 1929 254
1234 1971 253
432 599 92
81 153 3
1040 2924 1073
621 662 14
443 2323 90
1790 2559 1
2606 2782 45
34 2864 725
312 2042 798
480 930 351
1287 1927 393
902 2745 1115
1010 2524 640
104 417 86
1056 2009 499
671 2812 889
782 1137 199
62 215 9
802 2603 449
253 2091 1167
796 1426 407
2424 2463 12
1096 1157 5
787 970 35
1552 1820 201
2454 2511 22
183 424 48
272 309 33
329 529 188
340 912 213
130 384 172
49 419 302
2179 2246 61
1276 2680 939
1498 2027 68
958 2611 1162
1000 1357 349
434 527 91
1104 1211 55
752 1431 310
217 321 25
664 692 11
1900 2355 313
976 2090 507
942 2655 585
181 912 32
1818 2288 456
402 1089 55
995 1229 89
47 364 90
1569 2268 232
2757 2877 56
1305 1784 187
397 1761 727
88 457 225
396 669 262
797 1363 539
1804 2384 119
1800 2787 22
721 1456 396
726 2187 1149
212 1648 1287
459 1005 9
255 1123 778
49 143 33
245 2095 232
372 2598 1939
280 2721 514
619 2618 335
127 489 90
73 122 4
767 2497 1354
2298 2708 372
421 2126 1515
176 1624 118
248 956 8
538 773 57
544 1201 176
1050 2921 846
177 183 4
1 203 180
261 845 154
343 1229 792
269 1790 870
317 400 40
1438 2736 595
147 189 24
148 718 150
1081 2136 174
360 988 128
3 10 0
70 158 21
304 2130 2
178 456 136
768 820 42
30 221 164
98 149 27
1276 2403 828
57 796 347
155 254 89
99 181 10
21 1506 360
767 991 107
680 1151 317
168 1532 764
444 1392 525
2469 2519 29
456 545 79
18 2431 1346
399 441 43
633 698 0
40 1742 872
1431 2000 518
218 1398 332
1585 1603 18
1068 1182 114
511 2364 867
7 128 90
846 1919 622
27 78 11
502 1275 453
111 238 16
559 750 23
118 632 408
268 2122 1069
471 836 274
521 2928 827
1948 2430 99
543 1841 72
570 1711 895
116 171 19
1144 2503 1106
891 1575 540
330 1909 1090
2001 2931 24
188 334 32
66 1027 687
309 471 55
812 2474 1658
96 1082 245
1535 1536 0
629 1907 500
2195 2613 204
1024 1661 477
1483 1973 139
416 2457 1336
1362 1707 308
1194 1785 91
73 1783 729
98 734 126
1123 2509 1155
74 2225 1985
963 2242 925
634 957 208
267 780 274
747 2475 1102
2679 2723 39
67 1831 1234
783 1673 282
334 844 311
852 2006 922
746 1923 350
18 22 0
191 331 84
191 391 10
1497 2414 300
97 203 88
2473 2651 97
22 1099 994
176 510 70
215 374 2
699 1984 719
1504 2020 63
409 1985 1269
667 1189 83
500 2537 1218
70 855 668
110 2271 1945
118 558 414
831 1936 129
1843 2242 378
671 1123 444
644 2685 569
246 2372 1162
440 1920 645
79 563 436
265 807 411
498 2893 526
932 2278 526
62 63 0
17 22 1
27 46 10
247 420 148
2167 2874 58
699 1097 354
1040 1265 72
384 2682 516
2193 2747 290
837 2244 200
1516 2073 268
1056 1924 727
2179 2859 628
2243 2708 261
61 133 55
1676 2580 728
261 1063 736
135 188 14
422 745 97
458 725 150
522 551 20
125 210 57
514 2373 1082
850 1902 594
1326 2010 232
258 1060 192
467 765 168
1398 1487 4
376 621 134
301 2943 2014
511 1288 699
249 1550 462
1718 1843 91
745 1118 132
50 79 1
1176 1531 125
767 1139 144
38 1211 304
137 206 70
310 365 0
256 435 78
1833 1863 22
2589 2650 36
1707 2508 501
339 1421 816
953 2245 1177
1497 1920 293
315 1037 655
21 558 80
40 117 48
1780 2370 147
704 2225 139
469 1185 153
1488 2097 255
9 790 384
120 2065 1141
437 1460 961
640 1234 401
485 1240 659
249 1583 1017
1377 2097 321
59 1312 16
5 1451 331
1738 2357 417
47 326 10
1362 2385 925
245 796 343
744 2551 598
1354 1756 225
258 2041 1741
1065 2387 157
1120 1993 727
1639 1959 214
693 1125 411
999 1112 53
2463 2756 250
381 447 35
944 1656 634
1256 2754 937
1722 2666 850
2363 2562 6
1575 2883 688
488 782 118
367 2926 849
2535 2608 35
1771 2090 191
53 55 0
1740 2739 273
116 1072 156
931 1445 185
727 2109 1081
2242 2371 81
1052 1255 33
53 334 62
363 539 68
1484 1689 117
1858 2717 469
311 710 267
935 1061 72
174 413 55
500 2222 882
736 2118 567
185 341 139
1423 2302 444
247 1139 441
743 874 36
371 2418 1370
1914 2230 308
1083 2264 1152
509 1582 1067
2322 2634 158
385 455 45
2314 2622 168
1622 2542 247
745 2884 1708
1997 2393 300
199 265 62
1409 2582 812
182 2811 1557
119 269 23
1342 1797 15
446 455 8
491 2162 1280
1109 2828 406
1078 2167 844
120 445 211
148 2799 1813
919 1950 495
611 1433 143
97 611 26
386 1634 618
370 2706 2196
257 879 407
1185 1366 169
7 17 10
1473 2112 242
901 1137 159
764 814 50
429 2801 1675
432 462 28
348 453 42
121 327 203
1880 2161 11
828 842 1
217 317 36
259 377 45
31 451 19
686 1606 613
416 1003 169
351 1367 933
1162 2113 314
549 574 14
172 289 14
684 836 26
23 330 20
179 541 319
775 1246 139
270 702 255
776 2607 701
22 220 80
1059 2808 670
226 779 512
24 226 166
932 1955 171
1022 1513 60
403 1214 649
1435 2013 391
59 1160 371
867 2598 608
1289 2301 67
1462 1634 151
62 104 40
913 2176 684
552 1632 278
653 740 23
969 1387 328
93 1113 909
148 148 0
711 2070 1135
1105 2431 755
116 457 111
1141 1412 91
672 1722 65
989 2179 6
49 577 44
184 220 21
572 1017 46
1268 1456 179
101 109 2
1840 2605 237
737 810 63
356 1476 936
1151 1233 53
33 358 307
1388 1848 295
672 2048 1069
19 27 4
120 610 487
196 361 93
18 549 151
1189 1530 138
291 2368 1231
1590 1659 44
928 1360 237
980 2474 967
1291 1299 0
1756 2654 44
988 1020 5
1509 1614 14
1591 2549 618
1952 2683 672
937 1346 288
618 1299 86
3 3 0
733 1473 457
162 1430 1178
1046 2758 1114
176 325 34
870 1709 611
646 667 4
64 98 30
1039 2017 878
143 1029 784
2384 2940 340
272 421 52
980 1664 659
1435 1639 161
1243 1533 37
168 1080 559
211 450 146
1247 1422 62
108 272 74
643 1533 694
130 862 684
374 953 417
666 1759 388
232 1486 1068
336 393 15
182 2751 32
209 2070 1589
124 126 0
933 2333 599
92 254 13
7 69 54
531 922 45
44 119 51
262 1577 1273
1546 1608 12
840 2318 80
55 1251 400
614 696 12
279 280 1
2146 2869 189
742 1771 685
1266 2428 339
190 704 427
191 325 24
855 2464 1533
2362 2563 186
46 374 183
154 600 89
675 768 52
7 2854 2622
73 2587 694
1453 1802 36
76 1516 543
377 990 354
70 593 479
1436 1732 28
389 1502 955
1497 2161 597
647 784 79
126 857 624
1641 1752 62
2046 2137 35
738 739 0
1736 2383 299
523 1695 5
2144 2602 215
2863 2885 9
1 206 54
143 1188 844
268 521 144
2132 2610 173
165 528 123
2311 2561 177
726 746 8
1193 2179 555
92 203 98
70 1333 1110
412 1016 121
10 1069 1021
105 182 76
517 2520 1437
129 891 548
647 2676 1007
271 885 176
324 1369 546
563 1020 151
1070 2159 215
859 1997 740
2044 2837 125
373 2348 1288
142 1117 399
1755 2240 130
1789 2615 140
228 360 94
410 2277 1361
85 165 9
702 1911 219
1408 1414 4
1560 1703 56
19 437 377
692 1324 116
246 390 42
2115 2588 252
222 817 532
852 1192 42
2254 2425 154
40 1028 631
321 2665 1613
121 2108 579
1825 2087 227
613 1532 511
337 514 109
93 354 42
1167 1217 32
947 2883 1136
114 2129 1760
69 343 244
487 1141 585
781 919 81
338 1695 336
212 1295 969
2197 2449 179
723 841 38
1005 2855 160
118 1299 690
1964 2734 410
1160 1456 251
372 502 78
2113 2418 181
226 327 39
1105 1461 130
839 1368 39
560 682 45
573 2586 613
1369 1462 27
388 762 3
17 1015 233
595 746 27
1905 2848 654
1765 2039 78
2122 2745 529
185 758 138
929 1166 205
1676 2555 305
187 619 302
2068 2898 154
81 285 69
128 500 347
102 482 149
183 2202 371
1084 1585 300
2533 2687 134
883 2301 1305
682 1524 754
467 470 4
50 128 15
814 2346 1491
252 2651 1589
985 1745 125
51 383 86
9 239 199
546 1680 675
13 2484 485
458 2090 758
376 1481 508
193 1398 452
427 1115 374
940 1491 407
629 1242 188
361 1339 47
1010 2730 919
98 1314 538
2328 2454 107
615 2346 793
1251 1607 256
2286 2621 257
1232 2775 846
922 951 25
617 1440 658
1907 2504 346
186 265 65
273 2421 838
1463 1570 89
2175 2376 93
189 460 127
1719 2247 335
703 833 113
1138 2530 186
911 1168 181
2047 2230 183
79 119 12
119 736 561
338 814 269
261 455 104
387 1145 594
294 975 654
641 802 0
1910 2607 73
672 2207 167
873 2038 980
825 1348 250
1022 1651 150
17 20 0
2223 2240 6
2 65 27
536 1647 371
534 728 138
884 1150 39
396 699 66
189 2073 53
668 1150 115
1166 1293 37
292 297 2
252 1073 346
394 485 2
255 1338 809
250 619 308
896 2332 244
43 554 278
8 162 123
1066 1532 201
677 784 54
197 233 2
351 724 361
516 2850 986
1091 1182 32
1561 1573 12
569 2120 676
494 1389 849
75 148 66
399 1571 650
1193 2467 882
1561 2296 587
590 886 53
2312 2794 186
79 211 37
580 2107 614
217 509 110
935 1152 195
1219 1609 80
727 881 136
73 1942 162
454 905 34
1192 1323 122
1613 1998 224
108 117 7
2021 2430 283
420 1384 923
136 382 197
366 1673 639
1961 2165 133
907 2817 1613
657 1510 227
1217 1274 18
520 879 155
1258 2553 779
227 1511 80
73 330 230
193 1375 856
1262 1264 3
435 590 27
163 396 189
313 962 359
1521 2077 531
1602 1745 91
673 2066 84
106 350 75
2144 2670 425
465 1218 473
2110 2642 380
151 1269 27
507 1864 68
523 1898 309
1399 1424 14
449 1137 498
2372 2657 159
560 1284 706
927 2765 723
607 1778 528
564 820 29
353 2318 1274
81 162 55
447 1290 223
