4224 1166
1280 3753 2469
659 1579 188
271 326 48
7 19 11
420 567 30
62 254 70
2383 2895 142
111 984 109
3023 4047 911
2249 2732 229
982 1526 204
208 214 4
111 223 60
676 1224 408
2012 4046 2032
2771 3199 32
2174 3516 586
750 2693 461
1534 3008 133
2363 3146 293
389 1980 1272
204 1335 694
1929 3139 103
178 1912 1399
2472 4139 200
85 3978 1704
277 725 376
441 3046 100
1213 3391 539
1015 1598 266
137 226 79
552 1418 49
4 12 0
1014 1948 242
1224 1636 363
1343 3474 134
3839 3918 80
1741 3256 1459
191 296 50
886 1137 19
27 50 15
1065 2522 816
157 348 100
2318 2481 154
652 1767 37
1164 1484 13
1019 2152 214
1366 1976 167
571 850 76
574 676 95
381 2028 296
2738 4176 268
2574 3941 486
255 318 40
440 669 91
220 4123 498
831 4207 2715
5 389 246
470 1157 185
987 3555 376
43 223 63
3736 3768 28
53 2329 1963
369 1049 441
45 900 56
56 227 86
1948 4100 980
2597 3407 37
1350 1872 283
861 1428 434
47 59 13
890 3650 2353
46 2330 110
2166 3784 1433
2182 3769 867
613 878 69
1884 2310 223
1499 1907 265
1 1 1
294 3336 404
1963 4164 1161
1022 2096 762
105 2914 2077
351 2589 339
28 175 75
1590 3638 1975
348 1426 567
533 1986 343
456 1926 807
1843 2259 404
2490 2815 292
328 3183 1680
320 596 177
40 691 130
1823 3461 762
953 2456 1169
2907 4216 399
1527 2150 37
85 87 2
543 3024 469
204 561 27
1028 2641 349
23 46 16
1290 3253 269
2087 2916 195
3046 3859 457
1571 3060 464
215 545 198
53 56 3
609 3422 1408
1110 1842 517
2294 2644 1
1491 1545 0
1228 2908 1504
310 338 16
355 861 426
480 2092 1288
373 442 13
1614 3192 1476
1112 4052 1414
1567 2665 308
3303 3311 1
2156 2992 462
643 864 11
179 2905 1908
3828 3894 41
1592 2393 164
458 563 81
643 903 74
1043 3304 1146
58 727 440
435 3553 305
1582 1750 161
398 861 306
664 1427 742
189 352 152
855 2474 584
918 3515 2256
372 602 167
196 870 421
509 1017 275
2580 4213 1104
565 2638 1026
1942 3464 1089
763 1470 485
1160 3937 1415
837 2358 750
787 1850 825
1660 4069 343
457 3359 2232
4062 4153 64
1841 3275 1426
433 2747 729
3744 4205 420
111 267 146
448 1809 1015
462 472 2
1588 1846 239
1313 1696 261
2364 3441 713
151 1557 345
101 409 133
2641 3794 1095
102 3174 1951
143 229 5
1321 2080 237
2887 3508 48
222 1199 835
158 821 90
518 1638 431
964 2152 1001
334 479 27
292 1017 613
210 3799 3536
333 1613 111
2001 2081 24
32 183 151
1597 1702 11
2217 3214 992
2010 3399 332
1350 2223 72
409 817 318
2931 3372 25
380 1272 182
1131 1386 162
2310 3667 1285
2566 2682 86
1398 3007 1560
1229 1439 112
1295 3256 205
14 325 137
1291 2460 857
92 2774 1596
341 1176 371
46 51 4
258 974 145
21 227 151
312 1489 876
806 1661 58
2551 2676 123
545 3071 340
1286 2118 119
2164 2366 182
193 483 172
713 3485 2182
267 295 23
404 1078 524
1689 3300 1434
3256 3350 52
140 986 436
2518 3886 1288
904 3060 1778
461 669 27
1394 2603 571
1208 2305 690
508 548 23
3304 4071 232
418 482 19
795 2449 853
739 1609 542
904 921 16
1001 1081 39
2368 3495 462
431 2849 1812
3885 4189 251
570 889 208
1061 2018 809
422 465 29
1832 2453 537
1964 3187 904
140 596 336
1642 2311 596
1252 2630 106
774 1917 472
28 310 126
333 495 56
1245 1713 137
222 2855 480
2710 3798 482
1087 3043 662
443 1128 46
260 2372 683
2295 2386 44
435 3925 2743
37 3667 2616
21 175 51
1177 3940 436
287 1463 617
450 1512 231
2180 3381 1028
648 4149 1876
300 1490 588
1791 3105 895
1654 1864 51
910 3160 398
417 1277 401
838 915 77
3358 3416 13
1091 2406 521
722 2765 1355
552 963 317
3209 3861 34
1678 3236 1357
481 2987 1794
402 484 2
131 361 83
608 2527 984
1329 4080 1434
2274 2895 483
782 957 78
114 213 63
411 3201 1424
28 37 1
96 1245 688
2228 2917 573
113 173 60
617 860 237
296 647 66
884 3152 485
2034 3903 787
690 3772 2564
1260 1750 282
131 807 578
600 1256 226
2550 2705 28
691 2049 1343
2929 3425 368
543 3841 2642
317 3317 2094
366 3762 3194
119 894 263
1794 4109 383
1243 1880 635
1783 3593 695
1568 1635 36
2862 3073 48
1603 2607 959
592 1025 259
1496 2584 241
225 1462 814
889 2191 1262
76 2011 880
2256 3627 507
3214 3512 8
105 598 402
1599 2354 586
50 417 6
173 2441 705
815 2477 979
753 1291 458
1452 3202 388
193 1006 681
270 418 15
225 2416 525
1400 2526 866
1146 2183 202
2453 3159 24
1229 3782 1147
412 4006 2535
795 844 49
804 1301 214
662 2207 1326
82 375 66
1933 2661 635
5 20 10
135 965 159
2084 2523 325
742 1873 1011
318 3665 2685
608 1346 505
1528 2661 820
3262 4140 572
303 2712 1592
16 33 12
295 1021 235
1215 3314 676
342 1111 233
767 852 11
1408 4070 1825
982 2861 371
404 2418 209
1577 3928 1797
313 2532 769
23 238 161
727 2863 671
641 2360 724
69 161 26
44 143 56
263 512 60
785 835 36
1869 1884 5
302 302 0
780 834 29
2030 2104 73
19 112 37
51 444 10
3356 3776 389
52 981 733
1762 3875 401
853 1206 177
1291 1820 224
233 3028 2262
888 2021 352
46 888 622
1762 2379 152
701 754 41
2196 2797 405
351 936 526
408 1274 305
51 201 71
1069 1229 146
928 1174 6
48 979 327
1116 2510 198
2544 4197 1033
128 637 240
1650 3892 903
517 751 148
23 24 2
1049 2133 324
23 1644 153
1321 1516 155
2218 4128 534
211 488 264
1317 1649 53
97 233 114
41 541 3
103 862 158
354 2423 461
1673 1758 2
1579 3801 1320
861 2473 1567
1737 2103 39
1696 3178 1346
452 456 0
18 244 5
224 2309 1683
3239 3720 468
16 119 85
265 339 11
2248 2713 233
2028 3483 918
111 4057 1146
2280 2318 25
823 1773 352
1372 3972 1389
1413 1450 18
1257 3990 154
1461 1670 63
553 1414 13
107 1240 465
280 1296 611
372 756 324
998 1996 941
1187 3463 1160
1769 2075 234
291 663 366
628 1516 43
314 3021 2113
22 2199 1582
1444 2481 127
915 2356 943
133 441 298
982 1159 71
560 1425 498
47 78 28
479 611 1
690 1352 297
2466 4085 1293
3148 4024 441
1401 2552 1094
49 102 16
912 1277 289
156 1791 160
179 487 122
15 938 489
1524 1935 239
1161 3534 1301
1387 2949 295
2847 3834 668
1176 3712 203
1932 3029 71
253 328 15
1578 3520 1599
420 3432 787
386 1083 589
587 684 78
3675 3682 3
429 1603 1157
814 3446 749
1056 1103 8
4074 4124 18
394 3189 1576
205 599 194
205 399 145
1508 2625 660
1735 2581 678
1175 3999 2224
1490 2252 36
61 1331 972
941 1275 283
1168 3678 2062
1428 3065 1398
196 232 37
291 2623 578
1478 1640 123
1422 2316 523
2912 3646 131
1217 2546 907
240 3081 34
39 57 16
15 373 310
2538 3711 466
147 380 57
819 1767 726
524 3349 1990
66 135 20
1531 3114 947
2040 3442 1055
2018 2222 173
2648 3281 596
3333 3784 443
905 1421 385
950 3260 909
425 2893 731
1618 3316 461
239 3282 2144
199 1273 992
1635 2084 281
100 2227 2070
2271 3920 672
732 1158 278
416 826 54
1450 1628 84
2909 3087 86
247 409 62
862 3066 313
288 660 306
916 966 5
1936 2968 677
1196 1427 20
474 514 4
164 415 224
1056 1255 174
1507 3582 873
75 3323 218
397 402 5
2534 3987 1336
452 940 416
1095 3282 963
1034 1168 40
328 1502 861
92 128 7
51 646 243
674 3777 613
563 569 2
130 148 17
128 1732 898
373 882 203
724 3417 277
493 1422 524
2028 2572 437
167 258 57
263 332 34
2255 3327 798
1636 3460 171
2909 3412 241
491 764 82
657 1216 380
2013 3714 879
275 443 123
1101 1472 351
1028 1435 274
1043 1246 152
11 2022 669
1751 2412 366
1160 1257 15
921 1267 134
106 3351 684
173 634 47
1577 4209 680
901 3761 2018
939 2382 601
2 109 12
1352 3938 1501
10 15 5
649 3988 2237
346 2689 1318
1670 2106 378
304 926 518
2490 4209 719
1004 3159 1137
261 662 47
1165 1279 30
1304 2471 375
2396 2920 325
611 2790 1321
2157 2337 85
2916 3890 829
327 3715 2086
781 1465 456
877 2020 918
91 983 468
50 3743 1425
668 796 27
1210 3716 1155
501 2368 1244
6 73 20
318 756 86
628 2201 1045
686 1621 510
2249 2348 78
1536 2017 378
106 634 360
122 2711 1179
2227 3791 1108
2889 3418 201
193 939 693
267 1317 251
492 633 59
395 2346 1261
239 828 173
651 3972 1326
1113 1141 11
2365 4013 1041
1757 2825 501
812 3614 2478
365 423 5
396 578 111
2371 2695 188
894 4053 2783
320 538 204
1276 2538 159
301 312 6
332 1488 473
984 1272 71
296 1466 433
2068 3542 217
987 2992 1521
1180 3671 2110
438 449 2
1997 3624 1202
1095 1328 24
1364 3788 1350
437 2490 205
158 1135 145
33 37 4
3478 4155 164
110 685 546
1108 3774 351
763 2222 1148
753 1727 329
1609 2831 588
9 28 13
634 2231 977
35 166 66
85 791 702
171 4123 400
1000 1432 29
1399 2344 890
1991 2263 98
2896 3306 73
2062 3351 1148
4 390 32
1642 3773 228
3890 4127 55
28 507 135
1766 2009 224
1018 1729 622
1739 2624 741
74 702 257
598 3370 2769
1964 3286 658
2096 2441 254
1389 2636 514
1354 4090 1505
32 3113 2070
1234 2081 629
1804 2489 97
913 2301 1192
326 1077 414
346 2054 912
436 1154 323
161 1324 1160
1370 2573 353
240 703 52
17 767 195
704 2791 1704
627 3436 1683
288 3390 2779
1492 3204 1270
1147 3973 554
142 3439 2295
1214 1816 473
1710 2225 461
2166 2304 9
639 1829 794
470 2639 2091
1252 1652 354
2373 2435 31
1824 2170 160
979 3338 713
1321 1468 78
1488 2846 444
1593 2876 144
1134 2734 868
16 238 45
221 447 200
72 149 8
236 2420 2153
2556 2576 7
2208 3526 867
42 442 398
1249 1752 338
595 1501 104
233 841 193
3581 4105 345
3717 4128 261
2137 2490 105
1001 1348 264
1185 1316 43
357 1894 1360
1781 3223 1243
702 1173 53
389 788 295
17 1325 483
1792 2385 566
94 444 245
932 1052 44
1594 1716 23
634 1570 169
565 1020 175
293 440 110
2647 3647 90
3 2239 74
375 509 105
59 547 361
1562 3762 1611
2156 3038 849
92 547 309
1591 2347 670
173 206 27
1399 1526 113
841 3266 1951
777 1415 205
2906 3942 765
1055 2656 370
831 1262 197
154 266 78
237 720 326
179 2071 1592
161 814 501
424 556 81
1169 2552 607
1385 4207 1558
643 3283 165
20 263 9
1592 2668 818
149 262 9
474 2398 1358
8 198 77
185 1026 378
2569 4034 4
1425 2785 502
242 748 251
924 1263 62
1039 2765 1165
7 234 118
221 251 16
110 2406 1876
245 812 172
44 92 29
1453 3974 1974
371 1638 1021
501 1063 245
2154 2190 16
928 1128 75
396 513 117
485 1597 196
986 1642 190
902 3247 2277
1237 3557 1720
679 1155 446
6 1878 1142
2916 3013 16
884 1789 594
1905 2030 16
671 3293 369
1305 2608 394
258 1665 264
621 1192 32
15 3467 534
1007 3326 1094
1585 3401 720
1334 2954 370
196 1208 761
2066 2073 7
2148 2718 563
1120 3904 605
1154 3470 1510
383 2944 255
1513 2322 445
1124 3104 5
296 1010 584
7 14 7
391 2902 710
1556 1939 331
2962 3623 342
409 834 399
1 2 2
133 2298 254
243 1888 350
1284 2283 662
778 1788 447
2118 4192 528
1540 2665 1002
403 1041 259
1250 1948 672
268 1435 1081
1353 2602 493
208 435 199
780 2666 47
74 770 327
666 855 36
676 2431 804
1 3050 433
530 1567 821
179 402 219
31 91 16
420 553 21
599 1532 861
2680 2889 111
4015 4106 54
52 312 92
1088 1933 706
1015 1049 14
220 3607 716
415 684 72
1433 1575 92
1933 2085 38
3226 3521 254
1197 1904 372
881 2561 30
287 3985 1269
182 212 23
925 2724 233
511 1040 384
87 345 33
118 567 388
2461 3424 799
42 167 24
640 1227 342
1434 2488 465
2674 2864 87
1090 2417 1141
2877 3965 1004
2597 3977 1349
72 3242 1139
1747 3049 281
396 520 80
10 201 142
702 864 160
235 3342 1835
642 1075 246
3497 3994 109
904 1510 19
1790 3126 65
153 454 159
1007 3837 2439
723 1136 334
400 1384 26
1920 2488 516
1348 2137 713
457 713 60
830 1968 393
221 515 104
1562 2511 863
862 2816 232
27 178 84
2946 3504 425
462 1563 466
2549 3844 407
2420 3483 999
254 744 229
532 1844 688
342 367 16
2508 3004 377
18 668 226
130 3707 887
2110 3827 1207
359 1784 1204
247 1666 672
265 3338 810
37 51 2
217 243 17
203 384 37
1574 3790 825
1209 1531 302
820 1973 332
138 1187 198
2759 3644 679
9 605 38
379 3316 1690
