1943 2877
309 1736 319
634 663 1
115 663 107
475 543 8
60 179 12
311 1037 338
357 510 61
698 830 75
39 142 94
1032 1742 547
254 477 99
962 1799 611
540 1117 133
384 1134 664
597 942 58
116 218 35
369 1032 6
211 1520 905
484 1515 938
310 1117 525
833 1491 191
702 826 12
68 227 54
10 132 80
64 595 192
1 819 265
477 1230 487
985 1383 342
289 565 178
939 993 53
1186 1607 90
1698 1884 124
60 562 325
1541 1848 226
26 58 14
253 780 52
387 521 29
504 527 8
54 69 5
1374 1394 13
172 752 565
13 95 38
250 648 127
28 252 171
417 822 283
586 1544 133
205 1794 1013
1215 1855 95
6 304 32
315 1238 125
399 1016 590
219 974 710
72 1070 589
637 1649 784
11 165 124
927 1874 536
43 209 139
1251 1649 320
1285 1561 204
1103 1218 102
255 1082 19
364 1844 503
1114 1163 44
219 734 159
256 987 651
373 920 518
354 484 71
867 1381 123
672 747 63
1230 1393 88
234 505 181
1044 1654 195
482 1004 335
463 545 53
773 1757 971
381 416 15
27 271 237
25 654 350
415 536 114
868 1940 310
427 1361 767
418 1709 1288
242 336 86
467 472 1
574 1254 180
168 1897 1183
1091 1290 162
176 301 16
545 718 56
506 1197 252
468 600 91
515 947 396
325 893 189
40 118 8
744 914 80
274 1107 433
324 362 4
496 735 175
884 905 22
140 429 146
23 54 9
12 144 125
135 366 168
36 290 63
688 1129 137
195 274 45
99 228 122
401 412 7
24 295 109
255 378 54
176 603 172
34 225 85
563 720 124
591 1791 749
8 11 3
582 1562 316
4 518 308
11 1736 1648
1827 1934 21
508 1159 78
5 378 36
157 182 16
813 1225 195
802 1397 451
35 438 160
924 1520 250
232 1220 531
100 1331 553
107 278 36
29 160 4
217 492 146
576 830 109
153 295 63
386 697 80
3 386 354
836 1463 455
467 1338 94
90 721 48
357 368 2
441 677 150
348 738 125
9 461 36
587 1187 212
224 738 206
218 886 71
582 1324 409
931 1503 52
309 1249 614
761 1298 269
552 1046 186
163 209 2
59 251 6
1708 1829 72
386 530 64
713 981 150
119 1766 1062
978 1907 37
9 97 13
196 305 41
1412 1422 9
169 973 685
1687 1850 116
181 469 218
1432 1670 100
332 498 155
41 68 12
28 161 127
391 791 271
933 987 54
748 969 96
219 563 4
162 1118 940
898 1388 170
342 766 17
68 333 96
493 779 104
57 305 9
340 861 226
217 476 63
324 599 50
14 170 16
145 1235 283
15 16 1
970 1538 96
792 1669 158
635 1234 314
727 771 5
275 1720 92
268 1084 724
1813 1910 55
288 1493 853
7 75 47
218 823 517
111 111 1
41 674 486
187 207 13
517 592 16
483 1191 487
304 401 86
355 736 380
31 158 102
1523 1616 76
47 628 111
417 1101 197
312 1146 263
623 1670 827
76 640 397
62 62 0
1191 1931 246
48 123 24
1250 1663 302
1724 1804 79
264 526 99
352 463 40
72 781 616
452 566 103
1015 1203 173
56 214 22
11 83 37
210 889 130
67 186 113
612 1851 11
78 115 23
889 1697 505
1488 1615 11
251 1061 277
120 184 26
2 2 0
753 1074 31
69 1033 237
441 718 198
79 1563 940
1605 1802 95
288 465 44
1247 1808 191
482 1060 391
760 1459 55
1271 1892 109
6 78 17
163 558 122
380 561 73
753 895 85
100 380 209
725 1735 362
1355 1632 108
843 1841 216
700 1719 577
743 1082 99
708 1432 214
112 119 2
1032 1057 24
238 672 206
649 1096 163
614 1846 688
1201 1514 50
266 1768 348
1063 1373 249
488 551 24
493 1323 98
169 1283 1035
3 601 99
450 464 6
153 326 20
243 333 86
214 419 121
1219 1405 187
760 1902 1134
159 366 12
850 1754 223
5 618 287
712 848 105
1682 1918 85
62 297 114
852 877 22
380 712 0
1224 1421 100
311 392 65
1280 1678 321
46 166 4
432 809 142
53 1670 805
28 52 19
475 830 112
1143 1403 10
322 581 17
413 1265 821
17 573 102
265 822 114
89 485 213
934 1761 522
147 290 132
401 549 96
1195 1565 214
704 1869 331
7 20 5
848 1161 106
381 1224 446
862 1027 136
11 160 107
1795 1881 70
134 1430 928
646 1120 225
243 261 11
324 1827 611
130 426 241
668 1309 389
633 664 31
133 159 18
1 3 2
243 1372 1081
1219 1226 5
65 1025 911
81 204 39
1056 1351 230
473 916 87
63 70 6
44 63 11
283 894 452
68 374 283
704 812 41
102 335 4
465 1854 1204
596 892 8
373 397 4
919 941 8
202 209 6
358 651 87
409 600 85
274 348 64
340 1105 212
23 1678 1008
19 60 21
1403 1731 43
166 331 8
887 933 27
138 1904 736
129 953 440
28 218 103
356 444 44
728 1790 40
726 991 243
612 1036 174
134 323 130
445 727 262
426 617 138
120 298 18
45 240 105
6 1796 1210
269 877 175
270 1184 882
694 1466 132
597 644 20
143 160 13
70 87 16
389 424 13
64 1214 46
394 598 68
946 954 2
37 46 0
26 48 16
71 1349 375
131 193 24
24 254 88
237 957 356
38 303 25
227 482 220
674 1354 19
723 742 13
1619 1645 7
151 293 47
199 507 232
745 1086 147
235 1037 747
313 867 529
40 418 219
118 180 39
20 93 66
1006 1067 39
831 1898 53
464 632 7
36 65 13
606 1558 249
626 1927 1160
1250 1814 194
767 893 103
368 502 43
823 913 32
1234 1827 411
944 1709 273
140 162 4
106 1031 567
824 872 0
548 1684 1084
177 325 0
595 1044 251
902 1272 216
282 731 206
592 676 67
37 336 81
186 933 359
236 283 29
896 1129 143
4 909 832
469 524 38
21 535 409
17 368 167
359 365 3
1327 1370 4
112 735 333
1141 1189 32
891 1493 325
322 1403 939
401 1205 152
675 868 41
4 670 42
584 1643 253
1559 1835 205
150 349 102
291 1056 335
107 147 28
206 742 87
57 1336 1096
728 1412 528
199 246 31
470 768 2
143 1133 591
1541 1574 4
501 1805 387
1291 1314 22
693 1631 813
361 1506 90
148 349 28
492 525 28
1255 1629 179
27 1093 505
800 999 107
1497 1855 205
4 114 31
2 16 2
426 571 104
67 531 243
286 631 131
1367 1590 222
701 915 51
73 1136 1004
39 95 10
1542 1672 74
350 1176 61
149 1511 1349
169 604 350
1502 1514 7
42 1100 244
934 1561 517
1636 1852 153
639 1524 332
2 2 0
1200 1379 168
213 700 373
621 1591 638
210 1839 187
4 156 114
822 1178 330
228 539 300
284 686 354
68 592 64
98 107 3
135 239 95
38 160 87
181 311 32
69 1415 437
290 915 175
918 1512 258
379 823 305
82 426 68
244 366 66
43 268 46
239 894 250
472 624 10
422 966 292
1071 1111 6
1017 1736 217
127 336 29
50 113 27
78 101 22
221 1348 916
656 843 168
109 131 13
760 1836 100
46 153 18
50 232 39
45 665 604
54 348 166
850 1119 124
590 1137 136
1756 1872 36
1156 1896 268
209 693 267
801 1479 53
862 904 13
255 1123 237
948 1588 216
1011 1196 124
250 1922 1456
81 543 149
115 1139 111
800 1180 106
879 1034 22
570 972 72
177 259 18
2 1903 1062
212 930 258
921 1894 147
812 1528 52
268 818 322
4 1716 1266
1117 1762 333
184 1045 527
231 285 16
707 1207 348
122 559 202
933 1206 181
68 1295 611
425 1862 623
283 1170 717
192 1501 976
787 1106 180
370 687 61
1220 1307 23
1250 1809 161
217 1214 503
16 1029 975
203 1878 1331
1575 1925 326
14 50 4
64 128 60
571 1715 617
311 1050 600
771 1912 884
867 1772 70
100 165 26
967 1768 22
605 1031 292
11 31 7
132 260 117
1349 1382 9
229 523 255
170 1193 515
52 363 170
34 1074 269
548 763 22
1211 1887 339
167 466 182
371 512 133
659 1137 198
800 1161 276
746 922 154
624 693 44
207 386 98
706 1117 81
1119 1163 8
973 1410 257
666 1109 128
6 90 20
91 172 34
264 1055 264
772 1809 142
991 1828 432
513 1159 158
717 1797 260
160 163 1
43 213 27
248 290 9
634 1333 247
6 6 0
368 649 98
553 846 96
568 1899 910
10 206 33
347 781 410
492 1813 812
201 588 259
780 1861 145
76 1666 958
650 1782 849
281 1753 279
852 1745 188
119 285 162
343 1899 494
928 1313 363
608 826 67
1028 1641 608
386 930 327
138 344 154
386 396 8
233 425 145
593 1366 443
405 1529 1062
148 531 318
247 288 39
785 1841 505
67 722 123
1738 1864 72
547 627 49
1156 1335 170
215 428 71
528 1315 438
1265 1562 199
145 1066 535
179 702 298
560 688 73
553 1699 400
60 143 58
135 942 430
259 502 117
630 743 27
227 1882 1158
79 456 342
74 116 34
567 1720 739
1805 1838 23
13 76 28
517 701 68
952 1790 777
1 76 57
324 597 113
156 382 104
587 610 11
445 703 221
233 1041 55
773 1390 123
917 1748 660
162 842 626
511 643 124
50 64 1
145 238 83
84 502 251
416 550 45
82 139 32
120 530 171
664 1042 15
90 227 48
728 924 117
209 418 189
8 219 1
1044 1882 109
247 1585 1002
2 37 31
32 47 9
282 1071 483
1037 1426 120
2 1315 1307
1417 1849 336
385 856 163
117 538 72
411 865 93
239 806 85
638 758 41
1301 1512 80
280 462 5
725 921 92
213 1308 52
137 278 75
149 437 182
1 67 65
776 1177 382
23 240 103
117 1356 40
38 1512 1286
1187 1510 21
94 572 434
50 126 65
315 433 104
950 1152 170
63 198 64
166 452 251
164 710 104
1859 1915 23
302 585 204
1210 1757 158
653 1420 418
6 431 90
84 392 195
969 1527 360
157 1334 736
105 217 53
757 1789 785
105 112 0
1070 1645 201
703 1690 887
90 666 113
470 593 117
4 4 1
260 387 105
224 1448 539
1002 1308 106
202 290 60
87 170 16
1478 1637 80
41 1267 104
648 932 54
189 222 25
792 921 113
260 620 339
697 1103 364
925 1492 390
251 306 4
765 840 43
208 315 70
1146 1393 109
657 1209 374
271 305 19
1414 1491 20
230 839 523
69 899 479
483 892 337
658 1269 600
434 470 35
82 243 34
205 361 140
268 596 114
821 1640 765
449 901 346
724 1081 63
251 656 239
1042 1319 83
185 1403 714
53 284 62
24 91 68
332 1258 810
369 652 40
89 1319 617
1328 1711 286
1038 1431 38
13 58 10
358 445 6
1682 1761 9
756 982 32
998 1398 13
1568 1815 7
434 1366 860
483 1113 83
70 1024 493
33 365 225
228 1406 1088
638 1073 11
207 337 89
410 1088 436
431 451 11
822 881 16
113 1212 536
359 1098 275
272 443 20
69 368 82
28 496 378
251 1404 436
119 622 116
34 422 216
1486 1769 82
300 589 24
590 1104 284
245 1428 174
442 1440 42
382 1415 390
725 1076 291
764 1815 268
924 1820 866
168 716 450
141 237 92
156 781 60
1041 1555 108
184 414 88
528 1773 1223
406 626 4
147 968 120
386 938 380
144 424 241
911 1202 147
1334 1530 52
530 1928 980
570 1007 151
107 225 23
1038 1797 476
213 680 195
253 1817 821
612 885 209
471 1212 423
257 696 163
56 135 66
732 1389 637
105 1198 222
429 1758 96
20 1832 21
212 844 309
746 843 74
420 1612 721
1286 1507 86
459 663 124
88 338 29
82 122 0
225 1753 1110
462 772 284
1010 1772 493
