2111 2906
233 839 242
407 1047 517
78 2045 1883
2017 2103 77
114 435 184
59 976 613
1667 2017 120
72 996 721
345 2089 1628
1219 1572 1
158 968 633
1525 1624 80
816 1044 11
1181 1517 290
1337 1691 350
390 1322 746
1734 1819 53
1728 2028 262
351 361 10
415 743 98
2010 2049 29
106 189 48
144 505 108
513 1888 712
1672 1915 175
77 795 99
478 2092 204
4 120 19
70 2053 1460
925 1726 499
248 330 61
1792 2066 203
963 1926 219
77 138 35
356 2061 1065
1441 1621 80
640 1064 44
560 1107 27
356 709 234
89 1987 1133
225 644 370
9 2052 362
355 1785 673
1081 1696 457
1175 1834 325
1596 1636 1
293 602 65
239 1671 877
480 926 137
271 326 22
25 116 36
366 1236 575
1973 2033 35
554 1010 427
244 2075 96
629 1076 85
76 248 99
809 1527 514
395 1744 362
62 409 178
507 769 39
1619 1900 70
113 211 25
577 675 46
411 956 193
1017 1579 45
57 144 19
101 588 194
1784 1913 111
918 921 2
1343 1688 40
1044 1127 33
572 1037 45
446 844 169
116 1174 703
891 1447 102
87 111 4
410 1059 273
204 395 27
1115 1474 87
33 52 3
195 554 140
221 1679 428
220 1396 812
961 1339 132
1600 1885 222
390 649 238
20 1060 1020
119 336 38
165 1012 93
614 1276 504
108 901 163
528 1756 994
60 76 1
229 774 57
636 1141 342
275 1348 813
111 473 215
233 1011 703
139 599 202
930 2110 691
354 1849 1141
427 1828 277
103 1018 269
1229 1582 294
1584 1853 64
258 755 258
857 1248 39
990 1136 29
328 464 130
1319 1649 103
538 1364 788
924 1262 85
77 117 11
165 281 79
615 1009 254
933 1638 59
292 1405 663
553 732 56
80 457 268
642 1724 917
821 1908 510
184 253 62
53 162 3
938 968 22
1027 1806 459
107 254 111
104 315 203
1610 1918 131
18 38 5
388 470 72
1259 1679 263
449 722 135
1159 1546 31
431 580 8
1264 1414 29
1618 1743 121
662 1023 8
568 1022 403
882 1716 809
128 842 221
229 268 39
1196 1815 575
107 1769 1418
1097 1253 56
441 475 7
45 71 24
839 1359 133
328 2007 1067
431 462 10
328 466 129
580 1125 257
563 2068 214
1060 1150 3
856 2058 1152
595 1544 449
9 39 22
1648 2077 18
302 1363 842
576 908 140
1767 1849 18
1484 1800 213
398 1689 726
1385 1788 166
322 1024 400
395 565 130
302 1387 1024
498 1363 443
521 2105 881
1336 1515 47
17 362 195
1262 1669 403
719 818 36
314 419 98
11 407 213
475 1620 1087
138 374 121
502 1263 4
110 179 0
592 1842 310
151 250 41
82 143 25
773 1620 781
528 1052 521
282 320 4
277 566 59
851 1293 355
828 1831 241
336 2006 437
1681 2037 304
267 1273 671
1128 1300 155
287 1591 1082
113 316 20
699 1856 8
296 1712 717
1217 1690 345
582 652 39
61 82 13
777 1072 250
580 1140 184
62 2044 1911
878 1082 97
350 1005 279
212 380 73
1149 1703 149
202 450 207
1440 1478 29
822 1638 215
316 1122 13
518 616 78
473 1872 16
122 407 133
614 906 123
352 831 293
635 1238 165
31 35 5
282 972 102
232 1127 236
382 1049 73
170 1374 526
196 626 424
384 586 137
620 1277 159
18 158 20
280 551 146
659 698 32
186 789 155
221 471 174
801 1588 116
615 1815 380
260 1474 152
48 196 22
254 310 53
1 1 0
280 446 61
159 1307 856
387 1240 584
780 1049 74
383 622 148
446 549 88
372 399 4
430 517 18
576 1507 82
103 114 1
1189 1278 70
28 433 238
87 1499 481
1042 1796 61
549 2070 1371
185 1619 1289
364 395 8
503 654 146
924 1710 20
227 234 7
1477 2102 242
238 347 1
424 565 142
207 736 178
2 18 2
1592 1875 239
1062 1158 22
605 842 227
250 271 16
26 440 164
1375 1895 151
306 1161 537
1147 1637 184
51 281 140
568 616 27
171 513 288
1362 1691 277
149 1606 1454
903 1022 19
134 332 45
878 1636 752
594 2079 1301
391 961 115
195 1236 823
413 1320 543
1358 1960 464
1370 1648 26
66 94 11
81 148 35
9 68 56
572 922 326
1002 1442 327
564 645 73
453 786 184
1392 1489 5
1458 2043 535
1799 1903 30
57 1067 794
1475 1928 210
167 208 4
1337 1952 509
1171 1861 273
749 2103 619
93 856 92
23 38 4
24 82 49
330 1181 761
95 1208 909
424 696 33
825 2004 414
36 623 301
672 1750 133
206 316 43
10 40 6
806 937 61
672 1810 12
177 616 146
1042 1586 195
515 795 222
356 772 331
116 450 123
120 235 85
827 1531 378
1064 1311 128
89 176 81
244 569 136
1473 1669 148
265 440 2
1019 1537 241
421 585 54
364 536 36
93 317 69
347 1461 1031
716 1703 594
15 1940 1861
17 588 169
702 1251 529
271 622 75
189 1688 519
609 1294 506
808 1133 171
264 759 202
255 1034 417
38 718 242
664 1287 375
315 957 167
342 1797 283
143 1312 681
1155 1476 100
775 790 1
110 296 144
615 915 232
824 931 104
493 738 209
27 86 27
321 682 208
730 862 55
286 1015 171
565 1439 435
476 1574 196
440 819 223
1460 1977 36
1278 1823 348
218 439 23
134 666 347
278 941 231
585 1586 600
84 321 128
339 1759 601
8 47 39
1146 1346 40
329 407 4
54 74 2
283 1543 737
51 586 268
646 1035 318
535 1271 600
974 1343 108
751 2062 645
251 1383 680
937 1297 185
762 1381 544
422 964 231
42 177 13
1867 2060 46
1933 2065 90
816 2093 511
537 1126 438
843 1249 196
243 643 220
227 442 18
366 684 119
83 918 31
60 97 21
261 322 27
1408 1561 73
268 1827 1395
955 1974 803
1493 1877 226
405 1003 313
381 888 446
277 883 273
748 1324 449
245 630 350
1023 1849 827
389 440 50
360 651 205
613 691 20
899 1767 244
225 1346 1053
1049 1307 245
1216 1469 179
119 334 143
856 1049 63
508 894 101
1062 1151 35
13 894 439
644 1157 237
1735 1894 137
956 1287 93
864 1303 41
247 906 633
187 823 259
402 409 2
361 600 181
162 1025 698
313 522 155
600 1077 320
384 1851 440
791 821 31
33 543 28
229 1396 811
111 733 75
191 973 544
709 1185 309
649 1381 604
655 1493 382
357 844 394
203 236 25
195 364 23
598 1864 1042
300 1305 240
460 974 471
985 2077 197
19 64 5
1227 1568 176
1636 1902 140
667 1633 857
15 380 120
618 984 210
37 277 94
861 928 18
1093 1749 466
289 355 43
337 873 43
1727 1748 2
40 1745 520
1220 1525 115
806 1793 805
975 1994 39
100 863 406
76 587 511
294 1662 1126
310 557 7
1020 1856 12
749 961 81
25 757 659
1458 1550 71
101 368 4
1233 1778 139
76 133 33
168 781 262
415 1751 1291
448 751 251
185 455 232
449 1862 712
198 785 517
1417 1585 134
1204 1427 15
1268 1789 103
158 313 81
1123 1606 185
1321 1338 4
1132 2012 133
337 611 9
1047 1946 769
301 587 195
884 936 31
19 1291 163
748 1486 250
1459 1546 16
779 826 24
1098 1575 272
24 719 552
29 297 166
98 170 63
62 1323 634
582 657 54
1011 1320 85
1490 1529 35
61 1627 1017
1148 1263 112
264 885 115
847 1967 979
245 552 226
677 1009 274
923 1854 226
38 991 793
584 803 169
240 510 75
85 1898 1451
185 567 54
22 303 165
216 1198 567
1710 2020 88
1763 1872 20
73 213 106
653 1546 660
212 1435 750
128 325 197
100 1755 681
333 371 29
1575 1813 140
91 237 92
753 1226 345
1044 1790 16
537 668 30
181 918 306
987 2002 584
505 849 314
674 2104 745
11 65 31
673 1009 90
755 1986 2
20 44 8
492 509 11
995 1654 233
299 766 225
642 1521 824
1166 1948 43
456 665 145
114 937 172
68 218 129
989 1299 267
1741 1761 16
21 43 2
69 111 0
11 1244 1139
847 1928 75
314 687 27
973 1039 7
1483 1709 23
163 1986 369
1404 1428 4
492 1208 671
779 1898 472
78 543 133
1086 1313 225
227 520 6
429 468 14
672 891 198
533 1558 617
1421 1927 425
169 212 5
26 541 79
949 1403 386
203 254 11
59 513 212
823 1933 512
697 903 150
1015 1077 18
266 289 21
45 69 8
793 1713 405
984 1837 578
1618 1961 310
112 239 77
1622 1726 59
555 558 2
1335 1336 1
353 922 232
66 1065 630
20 229 70
74 540 191
453 692 104
21 611 528
126 1546 501
319 424 48
1464 1832 2
80 399 141
737 1157 63
235 853 181
800 1380 250
22 72 2
501 660 122
1133 1848 2
91 928 291
418 2025 447
1004 1070 23
451 821 347
12 346 228
634 1877 143
593 1984 179
1434 2021 550
159 380 138
1623 1724 5
680 1609 722
1049 1671 120
1178 1430 158
290 1685 1296
555 1362 803
1885 2078 174
62 199 129
1440 1960 309
793 1045 34
280 828 237
42 375 113
331 713 75
57 180 49
36 838 446
217 1267 222
