315 2305
133 193 23
84 132 32
96 262 91
15 225 26
96 181 26
21 200 29
38 119 47
70 259 31
34 57 21
181 226 8
84 282 3
18 110 53
3 11 2
105 236 36
198 256 41
89 125 18
189 210 9
139 302 78
16 28 5
33 134 66
160 308 113
118 287 27
74 298 19
18 69 10
72 83 9
7 166 13
96 158 4
80 291 35
29 81 42
164 177 4
49 68 18
26 81 54
81 193 83
24 48 11
43 220 155
33 41 0
6 82 36
175 178 2
86 175 30
33 159 5
32 172 40
131 289 26
50 69 19
126 144 10
89 226 96
188 245 52
4 10 7
83 96 8
157 298 32
12 54 6
70 112 31
124 195 55
91 216 47
52 183 63
2 26 11
222 295 54
33 35 1
95 131 6
22 146 84
26 290 195
66 76 10
63 84 7
152 264 111
1 5 4
10 12 1
65 184 94
230 237 5
110 217 94
250 290 29
6 26 17
13 17 2
6 227 50
79 152 25
23 101 38
43 102 2
31 176 88
80 314 70
82 253 121
179 199 4
26 286 206
68 121 51
116 152 28
42 133 75
82 115 19
189 265 53
60 203 37
123 240 5
90 206 81
194 208 15
8 10 1
283 291 0
18 49 19
11 66 50
27 109 67
42 60 18
70 248 96
85 245 112
197 301 5
34 108 19
55 251 24
55 107 53
129 147 1
26 29 2
51 219 102
126 147 15
104 232 9
236 263 26
16 84 17
49 51 3
6 11 4
102 207 75
78 83 1
202 215 9
16 164 30
68 72 3
83 209 109
35 213 36
1 55 1
11 138 102
156 177 14
41 288 24
46 105 41
14 31 2
4 66 10
114 131 6
84 195 4
147 163 9
18 76 23
75 170 6
64 294 56
4 4 1
1 1 1
60 274 41
59 146 38
50 247 38
127 157 23
149 287 38
242 309 56
20 211 171
90 249 35
1 37 22
2 8 1
4 10 0
146 218 0
228 245 11
28 276 230
12 59 37
72 297 110
112 146 17
53 122 14
29 73 15
96 108 3
46 144 28
60 77 11
97 202 93
5 106 19
1 2 0
12 70 53
180 315 131
60 107 34
108 279 57
2 25 0
14 305 16
173 222 6
13 111 36
18 307 192
23 205 72
4 30 2
4 21 4
2 62 34
14 175 104
12 38 14
6 37 28
51 56 2
46 129 77
22 56 26
146 228 8
301 307 6
181 281 81
123 216 20
125 185 58
262 279 11
263 306 43
99 274 39
142 279 7
11 23 2
113 135 10
19 92 73
93 257 81
245 295 0
203 245 1
14 23 3
8 14 1
160 203 6
104 221 58
235 304 34
11 12 1
59 70 8
62 182 12
4 25 3
11 30 17
127 216 1
81 183 74
20 143 27
141 233 47
65 261 132
181 203 11
124 176 40
2 3 1
97 130 9
85 203 10
3 7 2
127 179 48
198 247 14
2 45 41
250 310 18
11 23 5
10 16 5
8 12 1
31 48 5
91 99 7
206 210 1
14 17 0
72 145 62
163 263 9
88 88 1
166 202 19
135 286 64
77 182 27
44 136 60
37 177 104
150 173 24
70 195 19
219 238 10
35 183 130
186 223 17
7 8 2
78 192 38
54 271 194
174 289 91
73 147 7
119 128 8
4 212 22
23 28 3
51 107 47
11 157 109
20 73 20
2 3 2
101 133 11
2 124 38
62 63 0
123 180 27
69 169 79
67 282 3
48 102 9
126 278 84
152 220 60
52 88 0
80 231 55
72 173 16
181 244 38
1 55 19
125 125 0
171 234 37
39 46 5
178 291 26
54 263 78
3 17 6
107 211 4
162 311 74
250 308 25
21 266 111
24 45 22
103 196 32
30 223 91
85 85 0
99 307 184
13 259 188
152 313 44
196 200 4
95 161 36
221 231 1
7 15 1
21 173 115
44 299 24
113 125 11
13 140 109
104 105 1
54 81 20
4 10 2
29 37 0
6 248 51
8 212 114
4 15 2
4 8 5
115 202 85
67 176 27
31 75 20
59 241 0
26 41 15
153 197 36
86 123 23
31 33 1
5 8 2
86 121 36
52 120 68
82 211 4
113 125 12
107 176 0
200 256 47
72 165 78
63 239 142
70 180 36
142 157 1
89 244 14
3 65 23
17 104 35
114 207 79
26 51 13
74 164 65
89 128 4
69 196 80
47 131 71
142 161 0
3 148 124
2 20 1
27 175 85
291 296 6
26 95 58
21 109 62
76 162 36
49 68 14
62 191 49
48 306 32
8 53 4
64 188 123
3 134 104
34 98 64
117 277 11
220 260 41
21 36 11
293 310 18
25 33 4
3 26 7
125 128 4
224 242 3
2 135 48
82 159 6
51 222 3
35 224 142
28 128 38
141 266 3
186 209 1
2 196 172
234 267 3
149 254 39
19 243 151
84 204 71
10 125 67
151 285 20
41 48 7
93 144 3
47 48 2
102 135 8
122 246 124
13 14 0
34 241 47
161 217 49
77 222 95
43 216 4
257 283 14
34 292 211
117 255 18
70 202 16
2 7 3
72 88 3
25 151 36
57 86 29
100 139 23
42 189 143
64 124 5
226 252 24
2 23 2
106 143 17
92 112 13
139 223 6
28 166 121
29 84 22
107 182 5
19 252 94
51 70 0
158 284 61
47 153 18
112 149 8
7 42 33
219 298 70
50 85 16
65 72 1
28 73 8
176 181 5
109 311 58
150 165 3
131 206 9
103 108 6
50 95 11
140 262 109
41 44 3
8 99 60
24 39 0
15 168 117
100 102 3
80 144 40
46 188 80
20 82 12
237 272 18
126 223 56
45 76 4
7 74 1
9 23 8
84 212 83
53 116 8
1 187 163
88 131 24
8 130 23
2 41 23
55 272 35
169 176 0
124 169 34
246 263 5
2 19 4
126 199 23
14 230 104
86 121 36
63 90 28
19 52 12
72 234 83
252 258 1
93 199 10
57 223 56
83 154 43
14 220 111
97 225 63
102 197 13
15 58 17
17 65 37
142 303 119
17 19 0
14 56 30
16 315 189
6 34 17
206 249 10
173 313 46
31 63 22
251 289 9
33 137 96
82 241 66
184 190 6
60 89 14
152 209 26
202 216 0
35 267 93
68 221 101
71 235 144
111 184 73
2 186 173
1 73 46
41 119 47
2 9 2
16 146 91
226 283 36
65 147 57
108 137 1
173 225 24
25 170 83
60 302 135
2 60 55
37 40 4
193 282 15
86 313 12
65 293 136
167 214 36
146 147 0
4 44 36
89 180 38
179 193 5
2 29 3
150 157 1
4 8 5
10 36 12
167 192 16
285 296 0
62 102 30
37 180 108
155 189 26
99 185 80
128 135 8
65 120 52
64 250 185
172 184 2
251 252 1
146 172 2
232 282 30
97 121 18
35 71 26
35 183 85
15 113 98
44 67 10
116 167 10
200 217 2
52 73 1
164 290 3
69 162 68
202 270 12
23 29 1
45 159 82
